date,estimate_type,tenure,households
31 Dec 2005,mean quarter ended,total,1537400
31 Mar 2006,mean quarter ended,total,1543200
30 Jun 2006,mean quarter ended,total,1549500
30 Sep 2006,mean quarter ended,total,1555000
31 Dec 2006,mean quarter ended,total,1559500
31 Mar 2007,mean quarter ended,total,1564300
30 Jun 2007,mean quarter ended,total,1569200
30 Sep 2007,mean quarter ended,total,1573900
31 Dec 2007,mean quarter ended,total,1578700
31 Mar 2008,mean quarter ended,total,1583600
30 Jun 2008,mean quarter ended,total,1588200
30 Sep 2008,mean quarter ended,total,1592300
31 Dec 2008,mean quarter ended,total,1596200
31 Mar 2009,mean quarter ended,total,1599800
30 Jun 2009,mean quarter ended,total,1602700
30 Sep 2009,mean quarter ended,total,1605100
31 Dec 2009,mean quarter ended,total,1607400
31 Mar 2010,mean quarter ended,total,1610000
30 Jun 2010,mean quarter ended,total,1613000
30 Sep 2010,mean quarter ended,total,1616000
31 Dec 2010,mean quarter ended,total,1618900
31 Mar 2011,mean quarter ended,total,1621900
30 Jun 2011,mean quarter ended,total,1624700
30 Sep 2011,mean quarter ended,total,1627100
31 Dec 2011,mean quarter ended,total,1629300
31 Mar 2012,mean quarter ended,total,1631800
30 Jun 2012,mean quarter ended,total,1634700
30 Sep 2012,mean quarter ended,total,1637500
31 Dec 2012,mean quarter ended,total,1640300
31 Mar 2013,mean quarter ended,total,1643400
30 Jun 2013,mean quarter ended,total,1646700
30 Sep 2013,mean quarter ended,total,1651100
31 Dec 2013,mean quarter ended,total,1656100
31 Mar 2014,mean quarter ended,total,1661500
30 Jun 2014,mean quarter ended,total,1667500
30 Sep 2014,mean quarter ended,total,1674000
31 Dec 2014,mean quarter ended,total,1680500
31 Mar 2015,mean quarter ended,total,1687000
30 Jun 2015,mean quarter ended,total,1694000
30 Sep 2015,mean quarter ended,total,1701300
31 Dec 2015,mean quarter ended,total,1708300
31 Mar 2016,mean quarter ended,total,1715000
30 Jun 2016,mean quarter ended,total,1722700
30 Sep 2016,mean quarter ended,total,1731100
31 Dec 2016,mean quarter ended,total,1739000
31 Mar 2017,mean quarter ended,total,1746800
30 Jun 2017,mean quarter ended,total,1755700
30 Sep 2017,mean quarter ended,total,1764600
31 Dec 2017,mean quarter ended,total,1772900
31 Mar 2018,mean quarter ended,total,1780900
30 Jun 2018,mean quarter ended,total,1789900
30 Sep 2018,mean quarter ended,total,1798300
31 Dec 2018,mean quarter ended,total,1805100
31 Mar 2019,mean quarter ended,total,1812300
30 Jun 2019,mean quarter ended,total,1820000
30 Sep 2019,mean quarter ended,total,1827400
31 Dec 2019,mean quarter ended,total,1835000
31 Mar 2020,mean quarter ended,total,1843000
30 Jun 2020,mean quarter ended,total,1851600
30 Sep 2020,mean quarter ended,total,1860300
31 Dec 2020,mean quarter ended,total,1868400
31 Mar 2021,mean quarter ended,total,1876400
30 Jun 2021,mean quarter ended,total,1885000
30 Sep 2021,mean quarter ended,total,1894500
31 Dec 2021,mean quarter ended,total,1904100
30 Jun 1991,mean quarter ended,owner_occupied,NA
30 Sep 1991,mean quarter ended,owner_occupied,922400
31 Dec 1991,mean quarter ended,owner_occupied,923200
31 Mar 1992,mean quarter ended,owner_occupied,924000
30 Jun 1992,mean quarter ended,owner_occupied,925100
30 Sep 1992,mean quarter ended,owner_occupied,925900
31 Dec 1992,mean quarter ended,owner_occupied,926700
31 Mar 1993,mean quarter ended,owner_occupied,927500
30 Jun 1993,mean quarter ended,owner_occupied,928500
30 Sep 1993,mean quarter ended,owner_occupied,929500
31 Dec 1993,mean quarter ended,owner_occupied,930300
31 Mar 1994,mean quarter ended,owner_occupied,931300
30 Jun 1994,mean quarter ended,owner_occupied,932500
30 Sep 1994,mean quarter ended,owner_occupied,933600
31 Dec 1994,mean quarter ended,owner_occupied,934900
31 Mar 1995,mean quarter ended,owner_occupied,936600
30 Jun 1995,mean quarter ended,owner_occupied,938600
30 Sep 1995,mean quarter ended,owner_occupied,940300
31 Dec 1995,mean quarter ended,owner_occupied,941500
31 Mar 1996,mean quarter ended,owner_occupied,942700
30 Jun 1996,mean quarter ended,owner_occupied,944000
30 Sep 1996,mean quarter ended,owner_occupied,945300
31 Dec 1996,mean quarter ended,owner_occupied,946400
31 Mar 1997,mean quarter ended,owner_occupied,947400
30 Jun 1997,mean quarter ended,owner_occupied,948400
30 Sep 1997,mean quarter ended,owner_occupied,949300
31 Dec 1997,mean quarter ended,owner_occupied,950300
31 Mar 1998,mean quarter ended,owner_occupied,951800
30 Jun 1998,mean quarter ended,owner_occupied,953300
30 Sep 1998,mean quarter ended,owner_occupied,954500
31 Dec 1998,mean quarter ended,owner_occupied,955200
31 Mar 1999,mean quarter ended,owner_occupied,955700
30 Jun 1999,mean quarter ended,owner_occupied,956300
30 Sep 1999,mean quarter ended,owner_occupied,957100
31 Dec 1999,mean quarter ended,owner_occupied,958300
31 Mar 2000,mean quarter ended,owner_occupied,959900
30 Jun 2000,mean quarter ended,owner_occupied,961400
30 Sep 2000,mean quarter ended,owner_occupied,962300
31 Dec 2000,mean quarter ended,owner_occupied,962800
31 Mar 2001,mean quarter ended,owner_occupied,963600
30 Jun 2001,mean quarter ended,owner_occupied,964900
30 Sep 2001,mean quarter ended,owner_occupied,966800
31 Dec 2001,mean quarter ended,owner_occupied,969100
31 Mar 2002,mean quarter ended,owner_occupied,971800
30 Jun 2002,mean quarter ended,owner_occupied,974600
30 Sep 2002,mean quarter ended,owner_occupied,977300
31 Dec 2002,mean quarter ended,owner_occupied,980300
31 Mar 2003,mean quarter ended,owner_occupied,984000
30 Jun 2003,mean quarter ended,owner_occupied,988200
30 Sep 2003,mean quarter ended,owner_occupied,992200
31 Dec 2003,mean quarter ended,owner_occupied,995800
31 Mar 2004,mean quarter ended,owner_occupied,999900
30 Jun 2004,mean quarter ended,owner_occupied,1004500
30 Sep 2004,mean quarter ended,owner_occupied,1008900
31 Dec 2004,mean quarter ended,owner_occupied,1013500
31 Mar 2005,mean quarter ended,owner_occupied,1017700
30 Jun 2005,mean quarter ended,owner_occupied,1021600
30 Sep 2005,mean quarter ended,owner_occupied,1025500
31 Dec 2005,mean quarter ended,owner_occupied,1028800
31 Mar 2006,mean quarter ended,owner_occupied,1032100
30 Jun 2006,mean quarter ended,owner_occupied,1035200
30 Sep 2006,mean quarter ended,owner_occupied,1037600
31 Dec 2006,mean quarter ended,owner_occupied,1039400
31 Mar 2007,mean quarter ended,owner_occupied,1041400
30 Jun 2007,mean quarter ended,owner_occupied,1043600
30 Sep 2007,mean quarter ended,owner_occupied,1045500
31 Dec 2007,mean quarter ended,owner_occupied,1047500
31 Mar 2008,mean quarter ended,owner_occupied,1049500
30 Jun 2008,mean quarter ended,owner_occupied,1051400
30 Sep 2008,mean quarter ended,owner_occupied,1052900
31 Dec 2008,mean quarter ended,owner_occupied,1054300
31 Mar 2009,mean quarter ended,owner_occupied,1055400
30 Jun 2009,mean quarter ended,owner_occupied,1056100
30 Sep 2009,mean quarter ended,owner_occupied,1056500
31 Dec 2009,mean quarter ended,owner_occupied,1056800
31 Mar 2010,mean quarter ended,owner_occupied,1057300
30 Jun 2010,mean quarter ended,owner_occupied,1058100
30 Sep 2010,mean quarter ended,owner_occupied,1058800
31 Dec 2010,mean quarter ended,owner_occupied,1059500
31 Mar 2011,mean quarter ended,owner_occupied,1060300
30 Jun 2011,mean quarter ended,owner_occupied,1060900
30 Sep 2011,mean quarter ended,owner_occupied,1061200
31 Dec 2011,mean quarter ended,owner_occupied,1061400
31 Mar 2012,mean quarter ended,owner_occupied,1061800
30 Jun 2012,mean quarter ended,owner_occupied,1062400
30 Sep 2012,mean quarter ended,owner_occupied,1063000
31 Dec 2012,mean quarter ended,owner_occupied,1063600
31 Mar 2013,mean quarter ended,owner_occupied,1064300
30 Jun 2013,mean quarter ended,owner_occupied,1064300
30 Sep 2013,mean quarter ended,owner_occupied,1065600
31 Dec 2013,mean quarter ended,owner_occupied,1068900
31 Mar 2014,mean quarter ended,owner_occupied,1072400
30 Jun 2014,mean quarter ended,owner_occupied,1076200
30 Sep 2014,mean quarter ended,owner_occupied,1080500
31 Dec 2014,mean quarter ended,owner_occupied,1084600
31 Mar 2015,mean quarter ended,owner_occupied,1088800
30 Jun 2015,mean quarter ended,owner_occupied,1093300
30 Sep 2015,mean quarter ended,owner_occupied,1098100
31 Dec 2015,mean quarter ended,owner_occupied,1102600
31 Mar 2016,mean quarter ended,owner_occupied,1106900
30 Jun 2016,mean quarter ended,owner_occupied,1111900
30 Sep 2016,mean quarter ended,owner_occupied,1117300
31 Dec 2016,mean quarter ended,owner_occupied,1122400
31 Mar 2017,mean quarter ended,owner_occupied,1127400
30 Jun 2017,mean quarter ended,owner_occupied,1133200
30 Sep 2017,mean quarter ended,owner_occupied,1138900
31 Dec 2017,mean quarter ended,owner_occupied,1144300
31 Mar 2018,mean quarter ended,owner_occupied,1149500
30 Jun 2018,mean quarter ended,owner_occupied,1155300
30 Sep 2018,mean quarter ended,owner_occupied,1160700
31 Dec 2018,mean quarter ended,owner_occupied,1165100
31 Mar 2019,mean quarter ended,owner_occupied,1169700
30 Jun 2019,mean quarter ended,owner_occupied,1174600
30 Sep 2019,mean quarter ended,owner_occupied,1179500
31 Dec 2019,mean quarter ended,owner_occupied,1184400
31 Mar 2020,mean quarter ended,owner_occupied,1189500
30 Jun 2020,mean quarter ended,owner_occupied,1195000
30 Sep 2020,mean quarter ended,owner_occupied,1200700
31 Dec 2020,mean quarter ended,owner_occupied,1205900
31 Mar 2021,mean quarter ended,owner_occupied,1211100
30 Jun 2021,mean quarter ended,owner_occupied,1216600
30 Sep 2021,mean quarter ended,owner_occupied,1222800
31 Dec 2021,mean quarter ended,owner_occupied,1229000
30 Jun 1991,mean quarter ended,rented,NA
30 Sep 1991,mean quarter ended,rented,289900
31 Dec 1991,mean quarter ended,rented,292300
31 Mar 1992,mean quarter ended,rented,294800
30 Jun 1992,mean quarter ended,rented,297300
30 Sep 1992,mean quarter ended,rented,299800
31 Dec 1992,mean quarter ended,rented,302300
31 Mar 1993,mean quarter ended,rented,304700
30 Jun 1993,mean quarter ended,rented,307300
30 Sep 1993,mean quarter ended,rented,309900
31 Dec 1993,mean quarter ended,rented,312400
31 Mar 1994,mean quarter ended,rented,315000
30 Jun 1994,mean quarter ended,rented,317700
30 Sep 1994,mean quarter ended,rented,320400
31 Dec 1994,mean quarter ended,rented,323100
31 Mar 1995,mean quarter ended,rented,326000
30 Jun 1995,mean quarter ended,rented,329000
30 Sep 1995,mean quarter ended,rented,332000
31 Dec 1995,mean quarter ended,rented,334800
31 Mar 1996,mean quarter ended,rented,337700
30 Jun 1996,mean quarter ended,rented,341100
30 Sep 1996,mean quarter ended,rented,344700
31 Dec 1996,mean quarter ended,rented,348300
31 Mar 1997,mean quarter ended,rented,351900
30 Jun 1997,mean quarter ended,rented,355500
30 Sep 1997,mean quarter ended,rented,359100
31 Dec 1997,mean quarter ended,rented,362700
31 Mar 1998,mean quarter ended,rented,366600
30 Jun 1998,mean quarter ended,rented,370400
30 Sep 1998,mean quarter ended,rented,374200
31 Dec 1998,mean quarter ended,rented,377900
31 Mar 1999,mean quarter ended,rented,381400
30 Jun 1999,mean quarter ended,rented,385000
30 Sep 1999,mean quarter ended,rented,388700
31 Dec 1999,mean quarter ended,rented,392600
31 Mar 2000,mean quarter ended,rented,396700
30 Jun 2000,mean quarter ended,rented,400700
30 Sep 2000,mean quarter ended,rented,404500
31 Dec 2000,mean quarter ended,rented,408300
31 Mar 2001,mean quarter ended,rented,411600
30 Jun 2001,mean quarter ended,rented,413500
30 Sep 2001,mean quarter ended,rented,414500
31 Dec 2001,mean quarter ended,rented,415700
31 Mar 2002,mean quarter ended,rented,417000
30 Jun 2002,mean quarter ended,rented,418300
30 Sep 2002,mean quarter ended,rented,419700
31 Dec 2002,mean quarter ended,rented,421100
31 Mar 2003,mean quarter ended,rented,422900
30 Jun 2003,mean quarter ended,rented,424900
30 Sep 2003,mean quarter ended,rented,426700
31 Dec 2003,mean quarter ended,rented,428400
31 Mar 2004,mean quarter ended,rented,430400
30 Jun 2004,mean quarter ended,rented,432500
30 Sep 2004,mean quarter ended,rented,434600
31 Dec 2004,mean quarter ended,rented,436800
31 Mar 2005,mean quarter ended,rented,438700
30 Jun 2005,mean quarter ended,rented,440600
30 Sep 2005,mean quarter ended,rented,442500
31 Dec 2005,mean quarter ended,rented,444100
31 Mar 2006,mean quarter ended,rented,445600
30 Jun 2006,mean quarter ended,rented,448300
30 Sep 2006,mean quarter ended,rented,451500
31 Dec 2006,mean quarter ended,rented,454300
31 Mar 2007,mean quarter ended,rented,457200
30 Jun 2007,mean quarter ended,rented,460100
30 Sep 2007,mean quarter ended,rented,463000
31 Dec 2007,mean quarter ended,rented,465800
31 Mar 2008,mean quarter ended,rented,468800
30 Jun 2008,mean quarter ended,rented,471600
30 Sep 2008,mean quarter ended,rented,474400
31 Dec 2008,mean quarter ended,rented,477000
31 Mar 2009,mean quarter ended,rented,479600
30 Jun 2009,mean quarter ended,rented,482000
30 Sep 2009,mean quarter ended,rented,484200
31 Dec 2009,mean quarter ended,rented,486400
31 Mar 2010,mean quarter ended,rented,488700
30 Jun 2010,mean quarter ended,rented,491100
30 Sep 2010,mean quarter ended,rented,493600
31 Dec 2010,mean quarter ended,rented,496000
31 Mar 2011,mean quarter ended,rented,498400
30 Jun 2011,mean quarter ended,rented,500800
30 Sep 2011,mean quarter ended,rented,503100
31 Dec 2011,mean quarter ended,rented,505300
31 Mar 2012,mean quarter ended,rented,507600
30 Jun 2012,mean quarter ended,rented,510000
30 Sep 2012,mean quarter ended,rented,512400
31 Dec 2012,mean quarter ended,rented,514900
31 Mar 2013,mean quarter ended,rented,517400
30 Jun 2013,mean quarter ended,rented,523400
30 Sep 2013,mean quarter ended,rented,528800
31 Dec 2013,mean quarter ended,rented,530500
31 Mar 2014,mean quarter ended,rented,532200
30 Jun 2014,mean quarter ended,rented,534100
30 Sep 2014,mean quarter ended,rented,536200
31 Dec 2014,mean quarter ended,rented,538300
31 Mar 2015,mean quarter ended,rented,540300
30 Jun 2015,mean quarter ended,rented,542600
30 Sep 2015,mean quarter ended,rented,544900
31 Dec 2015,mean quarter ended,rented,547200
31 Mar 2016,mean quarter ended,rented,549300
30 Jun 2016,mean quarter ended,rented,551800
30 Sep 2016,mean quarter ended,rented,554500
31 Dec 2016,mean quarter ended,rented,557000
31 Mar 2017,mean quarter ended,rented,559500
30 Jun 2017,mean quarter ended,rented,562300
30 Sep 2017,mean quarter ended,rented,565200
31 Dec 2017,mean quarter ended,rented,567900
31 Mar 2018,mean quarter ended,rented,570400
30 Jun 2018,mean quarter ended,rented,573300
30 Sep 2018,mean quarter ended,rented,576000
31 Dec 2018,mean quarter ended,rented,578200
31 Mar 2019,mean quarter ended,rented,580500
30 Jun 2019,mean quarter ended,rented,582900
30 Sep 2019,mean quarter ended,rented,585300
31 Dec 2019,mean quarter ended,rented,587800
31 Mar 2020,mean quarter ended,rented,590300
30 Jun 2020,mean quarter ended,rented,593100
30 Sep 2020,mean quarter ended,rented,595900
31 Dec 2020,mean quarter ended,rented,598500
31 Mar 2021,mean quarter ended,rented,601000
30 Jun 2021,mean quarter ended,rented,603800
30 Sep 2021,mean quarter ended,rented,606800
31 Dec 2021,mean quarter ended,rented,609900
30 Jun 1991,mean quarter ended,free,NA
30 Sep 1991,mean quarter ended,free,42100
31 Dec 1991,mean quarter ended,free,42600
31 Mar 1992,mean quarter ended,free,43200
30 Jun 1992,mean quarter ended,free,43700
30 Sep 1992,mean quarter ended,free,44300
31 Dec 1992,mean quarter ended,free,44900
31 Mar 1993,mean quarter ended,free,45400
30 Jun 1993,mean quarter ended,free,46000
30 Sep 1993,mean quarter ended,free,46600
31 Dec 1993,mean quarter ended,free,47200
31 Mar 1994,mean quarter ended,free,47800
30 Jun 1994,mean quarter ended,free,48400
30 Sep 1994,mean quarter ended,free,49000
31 Dec 1994,mean quarter ended,free,49600
31 Mar 1995,mean quarter ended,free,50200
30 Jun 1995,mean quarter ended,free,50900
30 Sep 1995,mean quarter ended,free,51500
31 Dec 1995,mean quarter ended,free,52200
31 Mar 1996,mean quarter ended,free,52600
30 Jun 1996,mean quarter ended,free,52600
30 Sep 1996,mean quarter ended,free,52200
31 Dec 1996,mean quarter ended,free,51800
31 Mar 1997,mean quarter ended,free,51400
30 Jun 1997,mean quarter ended,free,51000
30 Sep 1997,mean quarter ended,free,50600
31 Dec 1997,mean quarter ended,free,50200
31 Mar 1998,mean quarter ended,free,49800
30 Jun 1998,mean quarter ended,free,49400
30 Sep 1998,mean quarter ended,free,49000
31 Dec 1998,mean quarter ended,free,48500
31 Mar 1999,mean quarter ended,free,48100
30 Jun 1999,mean quarter ended,free,47600
30 Sep 1999,mean quarter ended,free,47200
31 Dec 1999,mean quarter ended,free,46800
31 Mar 2000,mean quarter ended,free,46300
30 Jun 2000,mean quarter ended,free,45900
30 Sep 2000,mean quarter ended,free,45500
31 Dec 2000,mean quarter ended,free,45000
31 Mar 2001,mean quarter ended,free,44700
30 Jun 2001,mean quarter ended,free,45100
30 Sep 2001,mean quarter ended,free,46100
31 Dec 2001,mean quarter ended,free,47000
31 Mar 2002,mean quarter ended,free,48000
30 Jun 2002,mean quarter ended,free,49000
30 Sep 2002,mean quarter ended,free,50000
31 Dec 2002,mean quarter ended,free,51000
31 Mar 2003,mean quarter ended,free,52100
30 Jun 2003,mean quarter ended,free,53200
30 Sep 2003,mean quarter ended,free,54300
31 Dec 2003,mean quarter ended,free,55300
31 Mar 2004,mean quarter ended,free,56500
30 Jun 2004,mean quarter ended,free,57600
30 Sep 2004,mean quarter ended,free,58800
31 Dec 2004,mean quarter ended,free,59900
31 Mar 2005,mean quarter ended,free,61100
30 Jun 2005,mean quarter ended,free,62200
30 Sep 2005,mean quarter ended,free,63400
31 Dec 2005,mean quarter ended,free,64500
31 Mar 2006,mean quarter ended,free,65500
30 Jun 2006,mean quarter ended,free,65900
30 Sep 2006,mean quarter ended,free,65800
31 Dec 2006,mean quarter ended,free,65700
31 Mar 2007,mean quarter ended,free,65600
30 Jun 2007,mean quarter ended,free,65600
30 Sep 2007,mean quarter ended,free,65500
31 Dec 2007,mean quarter ended,free,65400
31 Mar 2008,mean quarter ended,free,65300
30 Jun 2008,mean quarter ended,free,65200
30 Sep 2008,mean quarter ended,free,65000
31 Dec 2008,mean quarter ended,free,64900
31 Mar 2009,mean quarter ended,free,64800
30 Jun 2009,mean quarter ended,free,64600
30 Sep 2009,mean quarter ended,free,64400
31 Dec 2009,mean quarter ended,free,64200
31 Mar 2010,mean quarter ended,free,64000
30 Jun 2010,mean quarter ended,free,63800
30 Sep 2010,mean quarter ended,free,63600
31 Dec 2010,mean quarter ended,free,63400
31 Mar 2011,mean quarter ended,free,63200
30 Jun 2011,mean quarter ended,free,63000
30 Sep 2011,mean quarter ended,free,62800
31 Dec 2011,mean quarter ended,free,62600
31 Mar 2012,mean quarter ended,free,62400
30 Jun 2012,mean quarter ended,free,62200
30 Sep 2012,mean quarter ended,free,62000
31 Dec 2012,mean quarter ended,free,61800
31 Mar 2013,mean quarter ended,free,61700
30 Jun 2013,mean quarter ended,free,59100
30 Sep 2013,mean quarter ended,free,56600
31 Dec 2013,mean quarter ended,free,56800
31 Mar 2014,mean quarter ended,free,56900
30 Jun 2014,mean quarter ended,free,57100
30 Sep 2014,mean quarter ended,free,57400
31 Dec 2014,mean quarter ended,free,57600
31 Mar 2015,mean quarter ended,free,57800
30 Jun 2015,mean quarter ended,free,58000
30 Sep 2015,mean quarter ended,free,58300
31 Dec 2015,mean quarter ended,free,58500
31 Mar 2016,mean quarter ended,free,58800
30 Jun 2016,mean quarter ended,free,59000
30 Sep 2016,mean quarter ended,free,59300
31 Dec 2016,mean quarter ended,free,59600
31 Mar 2017,mean quarter ended,free,59900
30 Jun 2017,mean quarter ended,free,60200
30 Sep 2017,mean quarter ended,free,60500
31 Dec 2017,mean quarter ended,free,60800
31 Mar 2018,mean quarter ended,free,61000
30 Jun 2018,mean quarter ended,free,61300
30 Sep 2018,mean quarter ended,free,61600
31 Dec 2018,mean quarter ended,free,61900
31 Mar 2019,mean quarter ended,free,62100
30 Jun 2019,mean quarter ended,free,62400
30 Sep 2019,mean quarter ended,free,62600
31 Dec 2019,mean quarter ended,free,62900
31 Mar 2020,mean quarter ended,free,63200
30 Jun 2020,mean quarter ended,free,63400
30 Sep 2020,mean quarter ended,free,63700
31 Dec 2020,mean quarter ended,free,64000
31 Mar 2021,mean quarter ended,free,64300
30 Jun 2021,mean quarter ended,free,64600
30 Sep 2021,mean quarter ended,free,64900
31 Dec 2021,mean quarter ended,free,65200
