State,Hours of free time (Weekly)
South Dakota,125.42
Missouri,125.15
Connecticut,125.5
Mississippi,124.65
Arkansas,125.2
West Virginia,125.17
Louisiana,124.18
South Carolina,124.7
Kentucky,125.22
Idaho,126.1
Alabama,125
Montana,126.42
Oklahoma,124.85
Tennessee,124.72
Kansas,125.72
Indiana,125.37
New Mexico,126.28
Florida,123.67
Iowa,126.07
Nevada,125.47
Nebraska,125.62
Maine,125.9
North Carolina,124.75
Wisconsin,125.8
Utah,127.03
Ohio,125.77
Georgia,123.9
Wyoming,125.57
Arizona,125.13
Michigan,125.75
North Dakota,125.05
Texas,123.68
Pennsylvania,124.98
Vermont,125.93
Oregon,126.15
New Hampshire,124.95
Hawaii,124.6
Delaware,124.88
Illinois,124.65
Minnesota,125.73
Rhode Island,126.52
Virginia,123.33
Colorado,124.68
New Jersey,124.05
Alaska,123.13
Maryland,123.55
California,124.83
Washington,123.25
New York,123.98
Massachusetts,125.13